id,author,category,comments,content,created,description,dislikes,keywords,likes,modified,require_comments,require_likee,settings,status,title,treat_as_post,url
13,Carron Muleya,c,0,"// Calculation of simple interest
#include &ltstdio.h&gt;
#include &ltconio.h&gt;
main()
{
int p, t ;
float r, si ;
printf ( ""Enter values of principal\n"" ) ;
scanf(""%d"",&amp;p);
printf ( ""Enter values of rate\n"" ) ;
scanf(""%f"",&amp;r);
printf ( ""Enter values of time\n"" ) ;
scanf(""%d"",&amp;t);
si = p * t * r / 100 ;
printf ( ""the simple interest id %f"" , si ) ;
getch ();
return 0;
}",2022-01-08T21:51:38.0000000,,0,,0,2022-01-08T21:51:38.0000000,False,False,,public,program to calculate simple interest,False,/codes/c/program-to-calculate-simple-interest.html
14,Carron Muleya,c,0,"//program to calculate the square root

#include&ltstdio.h&gt;
#include&ltconio.h&gt;
#include&ltmath.h&gt;
 main()
{   
   float root,a;
   printf(""enter the number to find the root \n"");
   scanf(""%f"",&amp;a);
   if(a&gt;=0)
   {
     root=sqrt(a);
       printf(""the square root is %f "",root);
   }
    else
   {
     printf(""the number has complex roots"");
   }
   getch();
}",2022-01-08T21:51:38.0000000,,0,,0,2022-01-08T21:51:38.0000000,False,False,,public,program to calculate the square root,False,/codes/c/program-to-calculate-the-square-root.html
15,Carron Muleya,c,0,"//program to change tempereture in degrees celcious to fahrenheit
#include&ltstdio.h&gt;
#include&ltconio.h&gt;

 main()
{
   float a,b;
   printf(""enter the temp in degrees\n"");
   scanf(""%d"",&amp;a);
   b=((1.8*a)+32);
   printf(""temp in fahrenheit=%f"",b);
   getch();
}",2022-01-08T21:51:38.0000000,,0,,0,2022-01-08T21:51:38.0000000,False,False,,public,program to change temperature in degrees celcious to fahrenheit,False,/codes/c/program-to-change-temperature-in-degrees-celcious-to-fahrenheit.html
16,Carron Muleya,c,0,"// program to check whether input alphabet is a vowel or not
#include &ltstdio.h&gt;
#include &ltconio.h&gt;
int main()
{
  char ch;
 
  printf(""Enter a character\n"");
  scanf(""%c"", &amp;ch);
 
  if (ch == 'a' || ch == 'A' || ch == 'e' || ch == 'E' || ch == 'i' || ch == 'I' || ch =='o' || ch=='O' || ch == 'u' || ch == 'U')
    printf(""%c is a vowel.\n"", ch);
  else
    printf(""%c is not a vowel.\n"", ch);
 getch();
  return 0;
}",2022-01-08T21:51:38.0000000,,0,,0,2022-01-08T21:51:38.0000000,False,False,,public,program to check whether input alphabet is a vowel or no,False,/codes/c/program-to-check-whether-input-alphabet-is-a-vowel-or-no.html
17,Carron Muleya,c,0,"//Programme to convert distances

#include &ltstdio.h&gt;
#include &ltconio.h&gt;
main()
{
   float km,m,cm,inch,feet;

   printf(""Enter the distance between the places in kilomtres:\n"");
   scanf(""%f"",&amp;km);

   m=1000*km;
   feet=3280.84*km;
   inch=3937*km;
   cm=10000*km;

   printf(""\nThe distance in: \n\ta) metres is %.2f m.""""\n\tb) feet is %.2f feet.""""\n\tc) inches is %.2f inches.""""\n\td) centimetres is %.2f cm."",m,feet,inch,cm);
   getch();
}",2022-01-08T21:51:38.0000000,,0,,0,2022-01-08T21:51:38.0000000,False,False,,public,program to convert distances,False,/codes/c/program-to-convert-distances.html
18,Carron Muleya,c,0,"//program to find sum of two numbers

 #include&ltstdio.h&gt;
 #include&ltconio.h&gt;

 main()
 {
 int a,b,sum;
 printf(""enter the first number: \n"");
 scanf(""%d"",&amp;a);
 printf(""enter the second number: \n"");
 scanf(""%d"",&amp;b);
 sum=a+b;
 printf(""the sum is %d"",sum);
 getch();
 }",2022-01-08T21:51:38.0000000,,0,,0,2022-01-08T21:51:38.0000000,False,False,,public,program to find sum of two numbers,False,/codes/c/program-to-find-sum-of-two-numbers.html
19,Carron Muleya,c,0,"//factorial of any number

#include &ltstdio.h&gt;//Defines types and macros needed for the Standard I/O rountines and stream-level I/O routines.
#include &ltconio.h&gt;

int num,factorial=1;

main()
{

   printf(""enter the number\n"");
   scanf(""%d"",&amp;num);

   for (int i=num;i&amp;gt0;i--)
   {
     factorial*=i;
   }
   printf(""The factorial of %d is %d."",num,factorial);
   getch();
 }",2022-01-08T21:51:38.0000000,,0,,0,2022-01-08T21:51:38.0000000,False,False,,public,program to find the factorial of a number,False,/codes/c/program-to-find-the-factorial-of-a-number.html
20,Carron Muleya,c,0,"//program to find the quadratic formulae
#include &ltstdio.h&gt;
#include &ltconio.h&gt;
#include &ltmath.h&gt;
int main()
{
	int a, b, c, dscr, cxdscr, div;
	double rtdscr, x1, x2;
	printf(""Please enter your a, b and c in their respective order seperated by 'enter': \n"");
	scanf(""%d%d%d"",&amp;a,&amp;b,&amp;c);
	// find the dscr
	dscr = b*b - 4*a*c;
	// check for complex roots.

		rtdscr = sqrt(dscr);
		x1 = (-b + rtdscr)/2*a;
		x2 = (-b - rtdscr)/2*a;	
		printf(""\nSolution 1 is %lf \n Solution 2 is %lf.\n"",x1,x2);

	getch();
	return 0;
	
}
}",2022-01-08T21:51:38.0000000,,0,,0,2022-01-08T21:51:38.0000000,False,False,,public,program to find the quadratic equations,False,/codes/c/program-to-find-the-quadratic-equations.html
21,Carron Muleya,c,0,"// Calculation of passing  five course tests in programming and program design
#include &ltstdio.h&gt;
#include &ltconio.h&gt;
main()
{
int m1, m2, m3, m4, m5, per ;
printf ( ""Enter marks in five tests of programming and program design\n"" ) ;
scanf ( ""%d %d %d %d %d"", &amp;m1, &amp;m2, &amp;m3, &amp;m4, &amp;m5 ) ;
per = ( m1 + m2 + m3 + m4 + m5 ) / 5 ;
if ( per &gt;= 75 )
{
printf ( ""D:Pass"") ;
}
else
if ( per &gt;= 65 )
{
printf ( ""2.1:Pass"" ) ;
}
else
if ( per &gt;= 55 )
{
printf ( ""2.2:Pass"" ) ;
}
else
if ( per &gt;= 55 )
{
printf ( ""P:Pass"" ) ;
}
else
{
printf ( ""F:Fail"" ) ;
}
getch ();
return 0;
}",2022-01-08T21:51:38.0000000,,0,,0,2022-01-08T21:51:38.0000000,False,False,,public,program to grade marks in programming and program design,False,/codes/c/program-to-grade-marks-in-programming-and-program-design.html
22,Carron Muleya,c,0,"#include &ltstdio.h&gt;
#include&ltconio.h&gt;
int main()
{
  int year;
 
  printf(""Enter a year to check if it is a leap year\n"");
  scanf(""%d"", &amp;year);
 
  if ( year%400 == 0)
    printf(""%d is a leap year.\n"", year);
  else if ( year%100 == 0)
    printf(""%d is not a leap year.\n"", year);
  else if ( year%4 == 0 )
    printf(""%d is a leap year.\n"", year);
  else
    printf(""%d is not a leap year.\n"", year);  
 getch();
  return 0;
}",2022-01-08T21:51:38.0000000,,0,,0,2022-01-08T21:51:38.0000000,False,False,,public,program to look for a leap year,False,/codes/c/program-to-look-for-a-leap-year.html
23,Carron Muleya,c,0,"#include &ltgraphics.h&gt;
#include &ltdos.h&gt;
#include &ltconio.h&gt; 
 
main()
{
   int i, j = 0, gd = DETECT, gm;
 
   initgraph(&amp;gd,&amp;gm,""C:\\TC\\BGI"");
 
   settextstyle(DEFAULT_FONT,HORIZ_DIR,2);
   outtextxy(25,240,""Press any key to view the moving car"");
 
   getch();
   setviewport(0,0,639,440,1);
 
   for( i = 0 ; i &lt;= 420 ; i = i + 10, j++ )
   {
      rectangle(50+i,275,150+i,400);
      rectangle(150+i,350,200+i,400);
      circle(75+i,410,10);
      circle(175+i,410,10);
      setcolor(j);
      delay(100);
 
      if( i == 420 )
         break;
 
      clearviewport();
   }
 
   getch();
   closegraph();
   return 0;
}",2022-01-08T21:51:38.0000000,,0,,0,2022-01-08T21:51:38.0000000,False,False,,public,program to move a car,False,/codes/c/program-to-move-a-car.html
24,Carron Muleya,c,0,"// program to shutdown or turn off computer
#include &ltstdio.h&gt;
#include &ltstdlib.h&gt;
#include &ltconio.h&gt;
main()
{
   char ch;
 
   printf(""Do you want to shutdown your computer now (y/n)\n"");
   scanf(""%c"",&amp;ch);
 
   if (ch == 'y' || ch == 'Y')
      system(""C:\\WINDOWS\\System32\\shutdown /s"");
 getch();
   return 0;
}",2022-01-08T21:51:39.0000000,,0,,0,2022-01-08T21:51:39.0000000,False,False,,public,program to shutdown or turn off computer,False,/codes/c/program-to-shutdown-or-turn-off-computer.html
25,Carron Muleya,c,0,"//program that determines whether a person is allowed to drink beer
#include &ltstdio.h&gt;
#include &ltconio.h&gt;

main()
{
int age;
printf(""Enter your age SIR/MADAM\n "");
scanf(""%d"", &amp;age);

if( age &lt; 18 )
{
printf(""You are  a minor, you are not allowed to drink beer."");
}
else 
{
printf(""You are  an adult,you are allowed to drink beer."");
}
 getch();
}",2022-01-08T21:51:39.0000000,,0,,0,2022-01-08T21:51:39.0000000,False,False,,public,program to test the age to drink beer,False,/codes/c/program-to-test-the-age-to-drink-beer.html
26,Carron Muleya,c,0,"//program that determines whether a entered number is odd or even
#include &ltstdio.h&gt;
#include &ltconio.h&gt;

 main()
{

 int num,ans;
 printf(""Enter the number to be tested\n "");
 scanf(""%d"", &amp;num);

 ans=num%2;

 if(ans==0)
 {
  printf(""%d is even."", num);
 }
 else
 {
  printf(""%d is odd"", num);
 }
 getch();
}",2022-01-08T21:51:39.0000000,,0,,0,2022-01-08T21:51:39.0000000,False,False,,public,programm that determines whether a entered number is odd or even,False,/codes/c/programm-that-determines-whether-a-entered-number-is-odd-or-even.html
27,Carron Muleya,c,0,"//program  to find the gratest in 3 numbers

 #include&ltstdio.h&gt;
 #include&ltconio.h&gt;

 main()
 {
   int a,b,c;
 
   printf(""enter the three numbers \n"");
   scanf(""%d%d%d"",&amp;a,&amp;b,&amp;c);
   if((a&amp;gtb)&amp;&amp;(a&amp;gtc))
    {
      printf(""%d is the greatest"",a);
    }
    else if((b&amp;gtc)&amp;&amp;(b&amp;gta))
    {
      printf(""%d is the greatest"",b);
    }
    else if((c&amp;gta)&amp;&amp;(c&amp;gtb))
    {
      printf(""%d is the greatest."",c);
    }
    else
    printf(""the three numbers are equal"");
    getch();
 }",2022-01-08T21:51:39.0000000,,0,,0,2022-01-08T21:51:39.0000000,False,False,,public,program to find the gratest in  numbers,False,/codes/c/programto-find-the-gratest-in--numbers.html
